tissue_id	label
tissue_659	Uterus
tissue_316	Breast
tissue_566	Breast
tissue_107	Prostate
tissue_757	Bone and Soft Tissue
tissue_603	Breast
tissue_638	Prostate
tissue_169	Melanocytic Lineage
tissue_520	Lung
tissue_702	Prostate
tissue_745	Lymphoid Lineage
tissue_634	Lung
tissue_557	Bladder and Urothelial Tract
tissue_234	Kidney
tissue_116	Breast
tissue_963	Uterus
tissue_82	Breast
tissue_604	Prostate
tissue_13	Breast
tissue_290	Liver and Bile Duct
tissue_363	Prostate
tissue_153	Breast
tissue_166	Cervix
tissue_202	Colon and Rectum
tissue_1025	Head and Neck
tissue_371	Melanocytic Lineage
tissue_1092	Uterus
tissue_278	Kidney
tissue_533	Breast
tissue_1086	Lung
tissue_353	Breast
tissue_477	Uterus
tissue_236	Prostate
tissue_113	Head and Neck
tissue_776	Head and Neck
tissue_32	Anus
tissue_1100	Kidney
tissue_929	Lymphoid Lineage
tissue_983	Bone and Soft Tissue
tissue_136	Breast
tissue_7	Breast
tissue_848	Breast
tissue_8	Ovary
tissue_661	Pancreas and Gallbladder
tissue_956	Lymphoid Lineage
tissue_6	Stomach and Esophagus
tissue_1010	Lung
tissue_138	Lymphoid Lineage
tissue_755	Lung
tissue_124	Breast
tissue_975	Uterus
tissue_479	Kidney
tissue_572	Breast
tissue_1099	Colon and Rectum
tissue_288	Prostate
tissue_698	Breast
tissue_627	Kidney
tissue_943	Prostate
tissue_462	Breast
tissue_1018	Stomach and Esophagus
tissue_324	Lymphoid Lineage
tissue_547	Lung
tissue_478	Stomach and Esophagus
tissue_766	Melanocytic Lineage
tissue_843	Head and Neck
tissue_26	Kidney
tissue_793	Lung
tissue_419	Colon and Rectum
tissue_952	Stomach and Esophagus
tissue_832	Breast
tissue_275	Prostate
tissue_996	Ovary
tissue_724	Bladder and Urothelial Tract
tissue_1075	Uterus
tissue_4	Breast
tissue_541	Lung
tissue_919	Bladder and Urothelial Tract
tissue_1013	Lymphoid Lineage
tissue_596	Prostate
tissue_235	Uterus
tissue_976	Colon and Rectum
tissue_485	Bladder and Urothelial Tract
tissue_312	Breast
tissue_972	Prostate
tissue_233	Kidney
tissue_905	Uterus
tissue_99	Breast
tissue_1027	Kidney
tissue_42	Cervix
tissue_816	Bladder and Urothelial Tract
tissue_874	Ovary
tissue_344	Breast
tissue_342	Pancreas and Gallbladder
tissue_747	NEC of Lung or Other Organs
tissue_824	Cervix
tissue_214	Lung
tissue_1101	Melanocytic Lineage
tissue_167	Head and Neck
tissue_528	Stomach and Esophagus
tissue_28	Anus
tissue_947	Ovary
tissue_911	NEC of Lung or Other Organs
tissue_123	Colon and Rectum
tissue_397	Uterus
tissue_321	Kidney
tissue_783	NEC of Lung or Other Organs
tissue_323	Breast
tissue_827	Lung
tissue_522	Breast
tissue_512	Colon and Rectum
tissue_786	Kidney
tissue_486	Breast
tissue_436	Uterus
tissue_881	Lung
tissue_500	Kidney
tissue_174	Breast
tissue_1096	Stomach and Esophagus
tissue_335	Pancreas and Gallbladder
tissue_37	Lymphoid Lineage
tissue_543	Lung
tissue_440	Colon and Rectum
tissue_339	Ovary
tissue_36	Lymphoid Lineage
tissue_171	Colon and Rectum
tissue_395	Breast
tissue_1074	Plasma Cell Lineage
tissue_948	Stomach and Esophagus
tissue_779	Prostate
tissue_817	Breast
tissue_642	Head and Neck
tissue_507	Breast
tissue_160	Cervix
tissue_818	Ovary
tissue_340	Melanocytic Lineage
tissue_192	Uterus
tissue_206	Lymphoid Lineage
tissue_828	Ovary
tissue_409	Bladder and Urothelial Tract
tissue_917	Kidney
tissue_750	Kidney
tissue_633	Lung
tissue_1008	Lung
tissue_205	Lung
tissue_66	Kidney
tissue_531	Prostate
tissue_383	Melanocytic Lineage
tissue_1029	Prostate
tissue_696	Lymphoid Lineage
tissue_979	Colon and Rectum
tissue_706	Liver and Bile Duct
tissue_196	Breast
tissue_1019	NEC of Lung or Other Organs
tissue_867	Stomach and Esophagus
tissue_600	Lung
tissue_682	Uterus
tissue_913	Pancreas and Gallbladder
tissue_338	NEC of Lung or Other Organs
tissue_1113	Breast
tissue_551	Melanocytic Lineage
tissue_854	Uterus
tissue_709	Bladder and Urothelial Tract
tissue_393	Uterus
tissue_80	Lymphoid Lineage
tissue_430	Breast
tissue_354	Lung
tissue_775	Breast
tissue_115	Stomach and Esophagus
tissue_937	Stomach and Esophagus
tissue_1072	Lung
tissue_903	Cervix
tissue_967	Kidney
tissue_734	Lung
tissue_1021	Colon and Rectum
tissue_1106	Breast
tissue_974	NEC of Lung or Other Organs
tissue_148	Lung
tissue_279	Breast
tissue_782	Colon and Rectum
tissue_945	Lung
tissue_713	Breast
tissue_114	Breast
tissue_991	Stomach and Esophagus
tissue_708	Pancreas and Gallbladder
tissue_615	Pancreas and Gallbladder
tissue_663	Lung
tissue_902	Lung
tissue_256	Stomach and Esophagus
tissue_777	Ovary
tissue_901	Lung
tissue_1004	Kidney
tissue_759	Ovary
tissue_104	Lymphoid Lineage
tissue_208	Colon and Rectum
tissue_932	Uterus
tissue_720	Ovary
tissue_692	Stomach and Esophagus
tissue_102	Lung
tissue_183	Lung
tissue_68	Prostate
tissue_391	Head and Neck
tissue_93	Melanocytic Lineage
tissue_506	Lymphoid Lineage
tissue_44	Colon and Rectum
tissue_225	Breast
tissue_161	Breast
tissue_307	Colon and Rectum
tissue_276	Lung
tissue_1023	Lymphoid Lineage
tissue_993	Pancreas and Gallbladder
tissue_188	Plasma Cell Lineage
tissue_482	NEC of Lung or Other Organs
tissue_1076	Head and Neck
tissue_946	Prostate
tissue_505	Breast
tissue_834	Head and Neck
tissue_270	Pancreas and Gallbladder
tissue_494	Colon and Rectum
tissue_86	Cervix
tissue_209	Head and Neck
tissue_940	Myeloid Lineage
tissue_398	Kidney
tissue_805	Lung
tissue_830	Colon and Rectum
tissue_998	Ovary
tissue_1014	Kidney
tissue_683	Prostate
tissue_157	Breast
tissue_425	Cervix
tissue_1083	Lung
tissue_648	Uterus
tissue_70	Breast
tissue_883	Breast
tissue_553	Kidney
tissue_356	Pancreas and Gallbladder
tissue_577	Melanocytic Lineage
tissue_400	Lung
tissue_81	Cervix
tissue_910	Stomach and Esophagus
tissue_47	NEC of Lung or Other Organs
tissue_426	Head and Neck
tissue_40	Breast
tissue_773	Stomach and Esophagus
tissue_930	Lymphoid Lineage
tissue_861	Plasma Cell Lineage
tissue_194	Kidney
tissue_787	Colon and Rectum
tissue_319	Kidney
tissue_299	Ovary
tissue_513	Colon and Rectum
tissue_1089	Colon and Rectum
tissue_362	Ovary
tissue_760	Bladder and Urothelial Tract
tissue_784	Ovary
tissue_224	Stomach and Esophagus
tissue_333	Ovary
tissue_640	Stomach and Esophagus
tissue_665	Myeloid Lineage
tissue_872	Colon and Rectum
tissue_857	Plasma Cell Lineage
tissue_1078	Plasma Cell Lineage
tissue_583	Lymphoid Lineage
tissue_496	Colon and Rectum
tissue_431	Colon and Rectum
tissue_23	Ovary
