label_w_size	n	region_size_mb
Head and Neck (N=65)	2322	31.291716
Head and Neck (N=65)	7089	31.291716
Head and Neck (N=65)	1214	31.291716
Head and Neck (N=65)	1378	31.291716
Head and Neck (N=65)	588	31.291716
Head and Neck (N=65)	2194	31.291716
Head and Neck (N=65)	3282	31.291716
Head and Neck (N=65)	4785	31.291716
Head and Neck (N=65)	2506	31.291716
Head and Neck (N=65)	1732	31.291716
Head and Neck (N=65)	2473	31.291716
Head and Neck (N=65)	9153	31.291716
Head and Neck (N=65)	1840	31.291716
Head and Neck (N=65)	3090	31.291716
Head and Neck (N=65)	377	31.291716
Head and Neck (N=65)	5621	31.291716
Head and Neck (N=65)	881	31.291716
Head and Neck (N=65)	1979	31.291716
Head and Neck (N=65)	3333	31.291716
Head and Neck (N=65)	2534	31.291716
Head and Neck (N=65)	862	31.291716
Head and Neck (N=65)	2094	31.291716
Head and Neck (N=65)	1197	31.291716
Head and Neck (N=65)	3580	31.291716
Head and Neck (N=65)	2545	31.291716
Head and Neck (N=65)	2278	31.291716
Head and Neck (N=65)	601	31.291716
Head and Neck (N=65)	3842	31.291716
Head and Neck (N=65)	2120	31.291716
Head and Neck (N=65)	2268	31.291716
Head and Neck (N=65)	695	31.291716
Head and Neck (N=65)	3131	31.291716
Head and Neck (N=65)	1514	31.291716
Head and Neck (N=65)	1456	31.291716
Head and Neck (N=65)	1484	31.291716
Head and Neck (N=65)	1345	31.291716
Head and Neck (N=65)	767	31.291716
Head and Neck (N=65)	5851	31.291716
Head and Neck (N=65)	2842	31.291716
Head and Neck (N=65)	3399	31.291716
Head and Neck (N=65)	3585	31.291716
Head and Neck (N=65)	2980	31.291716
Head and Neck (N=65)	1218	31.291716
Head and Neck (N=65)	518	31.291716
Kidney (N=70)	1360	31.291716
Kidney (N=70)	766	31.291716
Kidney (N=70)	3017	31.291716
Kidney (N=70)	392	31.291716
Kidney (N=70)	422	31.291716
Kidney (N=70)	2407	31.291716
Kidney (N=70)	724	31.291716
Kidney (N=70)	287	31.291716
Kidney (N=70)	728	31.291716
Kidney (N=70)	196	31.291716
Kidney (N=70)	192	31.291716
Kidney (N=70)	971	31.291716
Kidney (N=70)	1636	31.291716
Kidney (N=70)	96	31.291716
Kidney (N=70)	825	31.291716
Kidney (N=70)	874	31.291716
Kidney (N=70)	512	31.291716
Kidney (N=70)	544	31.291716
Kidney (N=70)	371	31.291716
Kidney (N=70)	1345	31.291716
Kidney (N=70)	645	31.291716
Kidney (N=70)	520	31.291716
Kidney (N=70)	1035	31.291716
Kidney (N=70)	470	31.291716
Kidney (N=70)	786	31.291716
Kidney (N=70)	535	31.291716
Kidney (N=70)	641	31.291716
Kidney (N=70)	455	31.291716
Kidney (N=70)	360	31.291716
Kidney (N=70)	419	31.291716
Kidney (N=70)	836	31.291716
Kidney (N=70)	1041	31.291716
Kidney (N=70)	839	31.291716
Kidney (N=70)	551	31.291716
Kidney (N=70)	985	31.291716
Kidney (N=70)	617	31.291716
Kidney (N=70)	1004	31.291716
Kidney (N=70)	577	31.291716
Kidney (N=70)	971	31.291716
Kidney (N=70)	1122	31.291716
Kidney (N=70)	432	31.291716
Kidney (N=70)	583	31.291716
Kidney (N=70)	298	31.291716
Kidney (N=70)	523	31.291716
Kidney (N=70)	379	31.291716
Kidney (N=70)	703	31.291716
Kidney (N=70)	233	31.291716
Kidney (N=70)	469	31.291716
Kidney (N=70)	591	31.291716
Kidney (N=70)	709	31.291716
Kidney (N=70)	427	31.291716
Kidney (N=70)	580	31.291716
Kidney (N=70)	521	31.291716
Kidney (N=70)	556	31.291716
Kidney (N=70)	550	31.291716
Kidney (N=70)	887	31.291716
Kidney (N=70)	499	31.291716
Kidney (N=70)	1197	31.291716
Kidney (N=70)	1318	31.291716
Kidney (N=70)	519	31.291716
Kidney (N=70)	690	31.291716
Kidney (N=70)	560	31.291716
Kidney (N=70)	1428	31.291716
Kidney (N=70)	1816	31.291716
Kidney (N=70)	1345	31.291716
Kidney (N=70)	1022	31.291716
Kidney (N=70)	789	31.291716
Kidney (N=70)	560	31.291716
Kidney (N=70)	962	31.291716
Kidney (N=70)	2033	31.291716
Liver and Bile Duct (N=27)	372	31.291716
Liver and Bile Duct (N=27)	2486	31.291716
Liver and Bile Duct (N=27)	1862	31.291716
Liver and Bile Duct (N=27)	938	31.291716
Liver and Bile Duct (N=27)	946	31.291716
Liver and Bile Duct (N=27)	1834	31.291716
Liver and Bile Duct (N=27)	53	31.291716
Liver and Bile Duct (N=27)	1452	31.291716
Liver and Bile Duct (N=27)	1287	31.291716
Liver and Bile Duct (N=27)	1933	31.291716
Liver and Bile Duct (N=27)	867	31.291716
Liver and Bile Duct (N=27)	202	31.291716
Liver and Bile Duct (N=27)	853	31.291716
Liver and Bile Duct (N=27)	440	31.291716
Liver and Bile Duct (N=27)	57	31.291716
Liver and Bile Duct (N=27)	880	31.291716
Liver and Bile Duct (N=27)	2302	31.291716
Liver and Bile Duct (N=27)	1336	31.291716
Liver and Bile Duct (N=27)	981	31.291716
Liver and Bile Duct (N=27)	537	31.291716
Liver and Bile Duct (N=27)	450	31.291716
Liver and Bile Duct (N=27)	624	31.291716
Liver and Bile Duct (N=27)	458	31.291716
Liver and Bile Duct (N=27)	630	31.291716
Liver and Bile Duct (N=27)	742	31.291716
Liver and Bile Duct (N=27)	2413	31.291716
Liver and Bile Duct (N=27)	1037	31.291716
Lung (N=99)	1584	31.291716
Lung (N=99)	2339	31.291716
Lung (N=99)	2616	31.291716
Lung (N=99)	3507	31.291716
Lung (N=99)	2478	31.291716
Lung (N=99)	12687	31.291716
Lung (N=99)	1562	31.291716
Lung (N=99)	1044	31.291716
Lung (N=99)	3107	31.291716
Lung (N=99)	1806	31.291716
Lung (N=99)	435	31.291716
Lung (N=99)	580	31.291716
Lung (N=99)	4331	31.291716
Lung (N=99)	2418	31.291716
Lung (N=99)	1570	31.291716
Lung (N=99)	935	31.291716
Lung (N=99)	710	31.291716
Lung (N=99)	535	31.291716
Lung (N=99)	1866	31.291716
Lung (N=99)	676	31.291716
Lung (N=99)	1763	31.291716
Lung (N=99)	210	31.291716
Lung (N=99)	918	31.291716
Lung (N=99)	1751	31.291716
Lung (N=99)	2516	31.291716
Lung (N=99)	1331	31.291716
Lung (N=99)	1191	31.291716
Lung (N=99)	2702	31.291716
Lung (N=99)	2600	31.291716
Lung (N=99)	5290	31.291716
